track_id,title,name,album,genre_top,split
2,Food,AWOL,AWOL - A Way Of Life,Hip-Hop,training
5,This World,AWOL,AWOL - A Way Of Life,Hip-Hop,training
10,Freeway,Kurt Vile,Constant Hitmaker,Pop,training
140,Queen Of The Wires,Alec K. Redfearn & the Eyesores,The Blind Spot,Folk,training
141,Ohio,Alec K. Redfearn & the Eyesores,Every Man For Himself,Folk,training
148,Blackout 2,Contradiction,Contradiction,Experimental,validation
182,Jules Lost His Jewels,Ariel Pink's Haunted Graffiti,Worn Copy,Rock,test
190,Castle Of Stars,Ed Askew,Blue Piano,Folk,training
193,Here With You,Ed Askew,Blue Piano,Folk,training
194,All I want to Do,Ed Askew,Blue Piano,Folk,training
197,Piano 2,Ed Askew,Blue Piano,Folk,training
200,Baby Come Home,Ed Askew,Blue Piano,Folk,training
203,Song For R,Ed Askew,Blue Piano,Folk,training
204,My Dream,Ed Askew,Blue Piano,Folk,training
207,Piano 3,Ed Askew,Blue Piano,Folk,training
210,In the French Court,Ed Askew,Blue Piano,Folk,training
211,In America,Ed Askew,Blue Piano,Folk,training
212,When I Arive,Ed Askew,Blue Piano,Folk,training
213,Boute,Au,Au,Pop,training
255,We Want to be Old,Bird Names,On Opaque Things,Rock,training
256,Toggle,Black Elk,Black Elk,Rock,training
368,Vampires,Blah Blah Blah,30th Anniversary Blah Blah Blah,Rock,training
424,The Ambient Honky,Brian Joseph Davis,The Definitive Host,Experimental,training
459,Machines and Muscles,CAVE,Butthash,Rock,validation
534,I Can See You,Charles Manson,One Mind,Folk,training
540,The Black Pirate,Charles Manson,One Mind,Folk,training
546,If You Have No One,Charles Manson,One Mind,Folk,training
574,Caliente Queen,Clockcleaner,Babylon Rules,Rock,training
602,Disappearing,Dora Bleu,Clones of Eros,Folk,validation
615,"Immaterial, side A",EKG,Immaterial,Experimental,training
620,Arabesque,Ed Askew,Viridian City,Folk,training
621,Blue Eyed Baby,Ed Askew,Rainy Day Song,Folk,training
625,Climbing To The Top,Ed Askew,Rainy Day Song,Folk,training
666,Heat,Explode Into Colors,summer 2008 demos,International,training
667,Sharpen The Knife,Explode Into Colors,summer 2008 demos,International,training
676,The Tension,Fanatic,Change Thoughts (radio edit),Hip-Hop,training
690,Cataclysm,Flying Luttenbachers,Cataclysm,Rock,validation
694,Planet Say (featuring Faust),Food For Animals,mp3 single with Faust,Hip-Hop,training
695,Elephants,Food For Animals,Cock Rock Disco 2006 Free Compilation,Hip-Hop,training
704,Mano De Dios,Fósforo,Macondo,International,test
705,Tio Cocodrilo,Fósforo,Macondo,International,test
706,Esto Es Califas,Fósforo,Macondo,International,test
707,Cochabamba,Fósforo,Macondo,International,test
708,Desconocido,Fósforo,Macondo,International,test
709,Cumbia De Obama,Fósforo,Macondo,International,test
714,Circle Moon,Fursaxa,The Cult From Moon Mountain,Folk,training
715,Kokopelli,Fursaxa,Kobold Moon,Folk,training
716,Saxalainen,Fursaxa,Kobold Moon,Folk,training
718,Song Of The Spindle Berry,Fursaxa,Kobold Moon,Folk,training
777,Relaxing,Glove Compartment,Quickies,Rock,training
814,Motion Passings,Hall Of Fame,Hall of Fame (2000),Folk,training
821,Sir,Hecuba,"Sir 12"" EP",Pop,training
822,Tom & Jerry,Hecuba,"Sir 12"" EP",Pop,training
825,Death March,Here Comes A Big Black Cloud!!,Pompeii,Rock,training
853,Welsinsni Melodyi,Hutzl Ukranian Ensemble,Black Mirror: Reflections In Global Musics (1915-1955),International,training
890,Softly Tomorrow,Ilyas Ahmed,Century of Moonlight,Folk,test
892,Phantom Sky,Ilyas Ahmed,The Vertigo of Dawn,Folk,test
897,02,Infinite Body,White Hymn,Experimental,training
993,Or So I've Been Told,Jad Fair and Jason Willett,The Sounds of Megaphone Unlimited,Rock,validation
995,No Good Deed Goes Unpunished,Kevin Shields,The Death of Patience,Experimental,training
997,Nothing's Ever Ending,Kevin Shields,The Death of Patience,Experimental,training
998,Apparently,Kevin Shields,The Death of Patience,Experimental,training
1039,13 Monsters,Lightning Bolt,Ride the Skies,Rock,training
1040,Dracula Mountain,Lightning Bolt,Wonderful Rainbow,Rock,training
1066,Helicopter de Cristal,Lucky Dragons,Norteñas,Experimental,test
1069,Un Lagrima en la Discoteca,Lucky Dragons,Norteñas,Experimental,test
1073,Onda Tocadisco,Lucky Dragons,Norteñas,Experimental,test
1075,Painful Corazon,Lucky Dragons,Norteñas,Experimental,test
1082,Nam Nhi-tu,M. Nguyen Van Minh-Con,Black Mirror: Reflections In Global Musics (1915-1955),International,training
1083,Feasting on Energy,Magic Lantern,High Beams,Experimental,training
1087,Tell The Police The Truth,Mahjongg,Kontpab,Rock,validation
1102,Rare Vodka from the Fourteenth Century,Mary Halvorson and Weasel Walter,Opulence,Rock,training
1193,Wooly Mammoth's Absence,Mount Eerie,Seven New Songs,Folk,training
1195,With My Hands Out,Mount Eerie,Seven New Songs,Folk,training
1196,2 Blonde Braids,Mount Eerie,Seven New Songs,Folk,training
1197,My Burning,Mount Eerie,Seven New Songs,Folk,training
1249,"""Cleanse Bath"" 10"" Metal Laquer",Nautical Almanac,Handcut Record Transfers,Experimental,test
1259,Rolling In The Green,Nautical Almanac,Cover The Earth,Experimental,test
1270,Cocksuckerbastardmotherfucker,Necropolis,"Workingman / Cocksuckerbastardmotherfucker 7""",Rock,training
1276,Richard Nixon Died Today,Negativland,Thigmotactic,Experimental,training
1277,No Business,Negativland,No Business,Experimental,training
1278,Downloading,Negativland,No Business,Experimental,training
1417,Guns of Thunder,Pierced Arrows,Straight To the Heart,Rock,training
1427,I Feel Evils,Plastic Crimewave Sound,Painted Shadows,Rock,training
1443,Time Fist,Pocahaunted,Bored Fortress Single Series Split w. Charalambides,Experimental,training
1482,Reindeer Dance,Rainbro,Vectors,Electronic,training
1510,Zombie,Ric Royer &amp; G. Lucas Crane,They Lured Us Into the Basement,Experimental,training
1544,Song of The Stations,Samara Lubelski,In The Valley,Folk,training
1642,Hrz,So Cow,Wackity Schmackity Doo,Pop,training
1644,Outskirts,So Cow,Wackity Schmackity Doo,Pop,training
1649,Inis Meain,So Cow,Wackity Schmackity Doo,Pop,training
1661,Only Fools and Horses Theme,So Cow,Wackity Schmackity Doo,Pop,training
1663,So High,Softboiled Eggies,Egg Soldiers,Pop,training
1666,She Fell Through the Trees,Softboiled Eggies,Egg Soldiers,Pop,training
1673,Track 07,Solemn Man,Thee Haunted Cobblestone Sunset Concert Series #10,Experimental,training
1680,Bashraf Salama,The Sounds of Taraab,"Zanzibar, New York",International,training
1681,Daka Kozi Manowe,The Sounds of Taraab,"Zanzibar, New York",International,training
1682,Nie Zama Nie Sema,The Sounds of Taraab,"Zanzibar, New York",International,training
1683,Mapenzi Matamu,The Sounds of Taraab,"Zanzibar, New York",International,training
1684,Mahaba Wa Taka Nini,The Sounds of Taraab,"Zanzibar, New York",International,training
1685,Eni Wana Damu,The Sounds of Taraab,"Zanzibar, New York",International,training
1686,Rufiji,The Sounds of Taraab,"Zanzibar, New York",International,training
1687,"Lala, Mpenzi Lala",The Sounds of Taraab,"Zanzibar, New York",International,training
1688,Sishituki,The Sounds of Taraab,"Zanzibar, New York",International,training
1689,Unalo,The Sounds of Taraab,"Zanzibar, New York",International,training
1701,Clouds,Spires That in the Sunset Rise,This is Fire,Folk,training
1702,Java Pop,Spires That in the Sunset Rise,Curse the Traced Bird,Folk,training
1703,Equus Haar,Spires That in the Sunset Rise,Curse the Traced Bird,Folk,training
1704,Morning Song,Spires That in the Sunset Rise,This is Fire,Folk,training
1706,In the Pineys,Strapping Fieldhands,In the Pineys,Rock,training
1720,Harken Sunshine,Sun Araw,The Phynx,Rock,training
1732,Black Jerusalem,Teeth Mountain,Teeth Mtn CD-R,Experimental,training
1733,Keinsein,Teeth Mountain,Teeth Mtn CD-R,Experimental,training
1735,Ghost Science,Teeth Mountain,Teeth Mtn CD-R,Experimental,training
1736,Soft Beast,Teeth Mountain,Teeth Mtn CD-R,Experimental,training
1883,I Do What I Do,The Yolks,Introducing The Yolks,Rock,training
1891,Kids In Cars,Thee Oh Sees,Peanut Butter Oven EP,Rock,training
1893,Memories,Tommy Jay,Tommy Jay's Tall Tales Of Trauma,Folk,validation
1924,Calling For You,The Twin Atlas,Inside the Skate Scandal,Folk,training
1925,Happy At The Wheel,The Twin Atlas,Magic Car Wash,Folk,training
1929,Buzz Chant,U.S. Girls,Spleencoffin presents: Ladyz in Noyz,Experimental,training
1930,So Thereby...and furthermore...thus henceforth...Mono,Upsilon Acrux,Galapagos Momentum,Rock,training
2012,The White Mice,White Mice,Assphixxxeateshun,Experimental,validation
2096,title unknown,Grouper,1st CD-R,Experimental,training
2097,My Sweet Miasma,Hall Of Fame,Paradise Now,Folk,training
2099,....like bacon sundays,luc,peaofthesea,Pop,training
3263,A Date,Ai Aso,Live at WFMU on Michael Goodstein's Show on 9/27/2008,Folk,validation
3264,Tee Te Te,Ai Aso,Live at WFMU on Michael Goodstein's Show on 9/27/2008,Folk,validation
3265,Lavender,Ai Aso,Live at WFMU on Michael Goodstein's Show on 9/27/2008,Folk,validation
3266,Land,Ai Aso,Live at WFMU on Michael Goodstein's Show on 9/27/2008,Folk,validation
3270,Song for Obol,Arborea,Arborea Live at WFMU on Irene Trudel's Show on 6/2/2008,Folk,training
3271,Beirut,Arborea,Arborea Live at WFMU on Irene Trudel's Show on 6/2/2008,Folk,training
3272,Seadrift,Arborea,Arborea Live at WFMU on Irene Trudel's Show on 6/2/2008,Folk,training
3273,Redbird,Arborea,Arborea Live at WFMU on Irene Trudel's Show on 6/2/2008,Folk,training
3274,Forewarned,Arborea,Arborea Live at WFMU on Irene Trudel's Show on 6/2/2008,Folk,training
3492,On The Wings,Citay,Live at WFMU on Liz Berg's Show on 3/24/2008,Rock,training
3532,Heaven Is Human,Cryptacize,Live at WFMU on Liz Berg's Show on 6/13/2008,Pop,training
3533,New Spell,Cryptacize,Live at WFMU on Liz Berg's Show on 6/13/2008,Pop,training
3534,Cosmic Sing-a-long,Cryptacize,Live at WFMU on Liz Berg's Show on 6/13/2008,Pop,training
3535,No Coins,Cryptacize,Live at WFMU on Liz Berg's Show on 6/13/2008,Pop,training
3537,We'll Never Dream Again,Cryptacize,Live at WFMU on Liz Berg's Show on 6/13/2008,Pop,training
3538,Say You Will,Cryptacize,Live at WFMU on Liz Berg's Show on 6/13/2008,Pop,training
3573,Piggled,Dan Deacon,Live at WFMU on OCDJ's Show on 7/23/2003,Electronic,training
3598,Little Eyes,Ed Askew,Live at WFMU 10/30/07 on Hatch's Show,Folk,training
3624,Days of Summer,Fallen Leaves,Live at WFMU on Evan Davies's Show on 9/16/2008,Rock,test
3707,Stable the Spuds,Gary Higgins,Live at WFMU on Brian Turner's Show on 7/26/2005,Folk,training
3708,Thicker Than A Smokey,Gary Higgins,Live at WFMU on Brian Turner's Show on 7/26/2005,Folk,training
3720,Walking on the Water,Indian Jewelry,Live at WFMU on Liz B's Show on 7/7/2008,Rock,training
3721,Pow Wow,Indian Jewelry,Live at WFMU on Liz B's Show on 7/7/2008,Rock,training
3722,Swans,Indian Jewelry,Live at WFMU on Liz B's Show on 7/7/2008,Rock,training
3724,Temporary Famine Ship,Indian Jewelry,Live at WFMU on Liz B's Show on 7/7/2008,Rock,training
3725,West Alabama,Indian Jewelry,Live at WFMU on Liz B's Show on 7/7/2008,Rock,training
3761,Improv,Kinski,Live at WFMU on Brian Turner's Show on 4/22/2003,Rock,training
3762,Snowy Parts of Scandinavia,Kinski,Live at WFMU on Brian Turner's Show on 4/22/2003,Rock,training
3763,Shelley Winters Overdrive,Kinski,Live at WFMU on Brian Turner's Show on 4/22/2003,Rock,training
3765,Waves of Second Guessing,Kinski,Live at WFMU on Brian Turner's Show on 4/22/2003,Rock,training
3766,Rhode Island Freakout,Kinski,Live at WFMU on Brian Turner's Show on 4/22/2003,Rock,training
3775,Cumbia Infierno,La Troba Kung-Fu,Live at WFMU on Rob Weisberg's Show on 10/18/2008,International,training
3776,La Canco de Lladre,La Troba Kung-Fu,Live at WFMU on Rob Weisberg's Show on 10/18/2008,International,training
3777,Volant,La Troba Kung-Fu,Live at WFMU on Rob Weisberg's Show on 10/18/2008,International,training
3778,Calor Calor,La Troba Kung-Fu,Live at WFMU on Rob Weisberg's Show on 10/18/2008,International,training
3779,Rock Rumba,La Troba Kung-Fu,Live at WFMU on Rob Weisberg's Show on 10/18/2008,International,training
3832,Bedoin Song,Lior,Live at WFMU on Irene Trudel's show 10/27/2008,Folk,training
3833,Track 01,Lightning Bolt,Live at WFMU on Brian Turner's Show on 2/27/2001,Rock,training
3840,Track 08,Lightning Bolt,Live at WFMU on Brian Turner's Show on 2/27/2001,Rock,training
3880,Crawling,Mary Halvorson and Jessica Pavone,Live at WFMU on Bethany's Show on 9/10/2006,Folk,training
3895,Invitita and de Cingheri from Transylvania,MetroFolk,MetroFolk Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
3896,Gypsy Csardas and Men's Dances from Kalotaszeg,MetroFolk,MetroFolk Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
3904,Sometimes,Michael Chapman,Live at WFMU on Hatch's Show on 12/12/2005,Folk,training
3905,Twisted Road,Michael Chapman,Live at WFMU on Irene Trudel's Show on 10/13/2008,Folk,training
3906,Sometimes,Michael Chapman,Live at WFMU on Irene Trudel's Show on 10/13/2008,Folk,training
3908,Caddo Lake,Michael Chapman,Live at WFMU on Irene Trudel's Show on 10/13/2008,Folk,training
3909,Dewbury Road / That Time of Night,Michael Chapman,Live at WFMU on Irene Trudel's Show on 10/13/2008,Folk,training
3910,Kodak Ghosts,Michael Chapman,Live at WFMU on Hatch's Show on 12/12/2005,Folk,training
3911,Dust Devils,Michael Chapman,Live at WFMU on Irene Trudel's Show on 10/13/2008,Folk,training
3912,Fahey's Flag,Michael Chapman,Live at WFMU on Hatch's Show on 12/12/2005,Folk,training
3913,Memhpis in Winter,Michael Chapman,Live at WFMU on Hatch's Show on 12/12/2005,Folk,training
3920,Fragrant Rota,Michael Holt,Live at WFMU on Irene Trudel's Show on 9/10/2007,Folk,training
3921,Hiawatha's Lullaby,Michael Holt,Live at WFMU on Irene Trudel's Show on 9/10/2007,Folk,training
3950,Click Click Bang Bang,Miss Derringer,Live at WFMU of Joe Belock's Show 6/19/2008,Rock,training
4013,Ravens,Nalle,Live at WFMU on Irene Trudel's Show on 3/31/2008,Folk,training
4017,New Roots,Nalle,Live at WFMU on Irene Trudel's Show on 3/31/2008,Folk,training
4022,Can't Tell No One,Negative Approach,Live at WFMU on Brian Turner's Show on 5/27/2008,Rock,validation
4037,Oh! Mighty Engine,Neil Halstead,Live at WFMU on Irene Trudel's Show 11/10/08,Folk,training
4066,Soleade,Peter Walker,Live at WFMU on Irene Trudel's Show on 6/9/2008,Folk,training
4067,Por Rosa,Peter Walker,Live at WFMU on Irene Trudel's Show on 6/9/2008,Folk,training
4068,Alegrias Variation,Peter Walker,Live at WFMU on Irene Trudel's Show on 6/9/2008,Folk,training
4069,Tune on Karen Dalton's Guitar,Peter Walker,Live at WFMU on Irene Trudel's Show on 6/9/2008,Folk,training
4070,Nuevos Ojos,Pistolera,Pistolera Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
4071,Mentirosas,Pistolera,Pistolera Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
4072,Tatuaje,Pistolera,Pistolera Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
4073,Policia,Pistolera,Pistolera Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
4074,Vieja,Pistolera,Pistolera Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
4075,Un Momento,Pistolera,Pistolera Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
4076,No te Olvidare,Pistolera,Pistolera Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
4077,Algo Pa que te Olvides,Pistolera,Pistolera Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
4078,No Suspires,Pistolera,Pistolera Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
4079,Extranjero,Pistolera,Pistolera Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
4080,Cazador,Pistolera,Pistolera Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
4091,1864,Polka Madre,Polka Madre Live at WFMU on Rob Weisberg's Show on 9/6/2008,International,training
4092,Nina Olga Vodka,Polka Madre,Polka Madre Live at WFMU on Rob Weisberg's Show on 9/6/2008,International,training
4093,Amsterdam,Polka Madre,Polka Madre Live at WFMU on Rob Weisberg's Show on 9/6/2008,International,training
4094,Vida Propia,Polka Madre,Polka Madre Live at WFMU on Rob Weisberg's Show on 9/6/2008,International,training
4095,Funeral Brahms,Polka Madre,Polka Madre Live at WFMU on Rob Weisberg's Show on 9/6/2008,International,training
4096,La Fin Du Monde,Polka Madre,Polka Madre Live at WFMU on Rob Weisberg's Show on 9/6/2008,International,training
4097,Clammy Hands,Polka Madre,Polka Madre Live at WFMU on Rob Weisberg's Show on 9/6/2008,International,training
4098,Russo Trap,Polka Madre,Polka Madre Live at WFMU on Rob Weisberg's Show on 9/6/2008,International,training
4099,Stalin's Head,Polka Madre,Polka Madre Live at WFMU on Rob Weisberg's Show on 9/6/2008,International,training
4100,Gitanas Mojadas,Polka Madre,Polka Madre Live at WFMU on Rob Weisberg's Show on 9/6/2008,International,training
4101,Karjalainen Tanssi,Polka Madre,Polka Madre Live at WFMU on Rob Weisberg's Show on 9/6/2008,International,training
4102,Herasinkuoleena,Polka Madre,Polka Madre Live at WFMU on Rob Weisberg's Show on 9/6/2008,International,training
4103,Circo Del Siglo,Polka Madre,Polka Madre Live at WFMU on Rob Weisberg's Show on 9/6/2008,International,training
4108,New Wave Hippies,Psychedelic Horseshit,Live at WFMU on Brian Turner's Show on 12/18/2007,Rock,test
4232,Bowmazan Ya Mahaba  Bi Kidude song ,The Sounds of Taraab,Live at WFMU on Rob Weisberg's Show on 4/7/2007,International,training
4233,Interview,The Sounds of Taraab,Live at WFMU on Rob Weisberg's Show on 4/7/2007,International,training
4234,Mapenzi Matamu,The Sounds of Taraab,Live at WFMU on Rob Weisberg's Show on 4/7/2007,International,training
4235,Kanilemaza  Ikhwani Safaa,The Sounds of Taraab,Live at WFMU on Rob Weisberg's Show on 4/7/2007,International,training
4236,Enyi Wana Damu  Sharmila and Black Star Orchestra,The Sounds of Taraab,Live at WFMU on Rob Weisberg's Show on 4/7/2007,International,training
4239,Shishituki,The Sounds of Taraab,Live at WFMU on Rob Weisberg's Show on 4/7/2007,International,training
4450,Adventures of Castle One,Twi the Humble Feather,Live at WFMU on Bethany Ryker's Show on 10/5/2008,Folk,training
4507,Mon Amant de St. Jean,Yan Yalego,Yan Yalego Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
4508,Five Foot Two,Yan Yalego,Yan Yalego Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
4509,Haricots,Yan Yalego,Yan Yalego Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
4510,no title,Yan Yalego,Yan Yalego Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
4511,Petit 'n Mwen,Yan Yalego,Yan Yalego Live at Barbes on Rob Weisberg's Show 5/17/2008,International,training
4519,Golden,High Places,Live at WFMU on Marty McSorely's Show on 10/28/2008,Electronic,training
4520,From Stardust to Sentience,High Places,Live at WFMU on Marty McSorely's Show on 10/28/2008,Electronic,training
4521,Namer,High Places,Live at WFMU on Marty McSorely's Show on 10/28/2008,Electronic,training
4522,Oceanus,High Places,Live at WFMU on Marty McSorely's Show on 10/28/2008,Electronic,training
4682,Asylum (Permanent Underclass),Dälek,Live at WFMU on Mike's Show on 9/25/2004,Hip-Hop,training
4684,Eyes to Form Shadows,Dälek,Live at WFMU on Mike's Show on 9/25/2004,Hip-Hop,training
4685,Ever Somber,Dälek,Live at WFMU on Mike's Show on 9/25/2004,Hip-Hop,training
4688,Culture for Dollars,Dälek,Live at WFMU on Mike's Show on 9/25/2004,Hip-Hop,training
